Country,Year,life,population,income,region
Afghanistan,1800,28.211,3280000,603.0,South Asia
Afghanistan,1801,28.20075333,,603.0,South Asia
Afghanistan,1802,28.19050667,,603.0,South Asia
Afghanistan,1803,28.180259999999997,,603.0,South Asia
Afghanistan,1804,28.17001333,,603.0,South Asia
Afghanistan,1805,28.15976667,,603.0,South Asia
Afghanistan,1806,28.149520000000003,,603.0,South Asia
Afghanistan,1807,28.13927333,,603.0,South Asia
Afghanistan,1808,28.12902667,,603.0,South Asia
Afghanistan,1809,28.118779999999997,,603.0,South Asia
Afghanistan,1810,28.10853333,3280000,604.0,South Asia
Afghanistan,1811,28.09828667,,604.0,South Asia
Afghanistan,1812,28.088040000000003,,604.0,South Asia
Afghanistan,1813,28.07779333,,604.0,South Asia
Afghanistan,1814,28.06754667,,604.0,South Asia
Afghanistan,1815,28.0573,,604.0,South Asia
Afghanistan,1816,28.04705333,,604.0,South Asia
Afghanistan,1817,28.03680667,,604.0,South Asia
Afghanistan,1818,28.026559999999996,,604.0,South Asia
Afghanistan,1819,28.01631333,,604.0,South Asia
Afghanistan,1820,28.00606667,3323519,604.0,South Asia
Afghanistan,1821,27.995820000000002,,607.0,South Asia
Afghanistan,1822,27.98557333,,609.0,South Asia
Afghanistan,1823,27.97532667,,611.0,South Asia
Afghanistan,1824,27.96508,,613.0,South Asia
Afghanistan,1825,27.95483333,,615.0,South Asia
Afghanistan,1826,27.94458667,,617.0,South Asia
Afghanistan,1827,27.934340000000002,,619.0,South Asia
Afghanistan,1828,27.92409333,,621.0,South Asia
Afghanistan,1829,27.91384667,,623.0,South Asia
Afghanistan,1830,27.9036,3448982,625.0,South Asia
Afghanistan,1831,27.89335333,,627.0,South Asia
Afghanistan,1832,27.88310667,,630.0,South Asia
Afghanistan,1833,27.87286,,632.0,South Asia
Afghanistan,1834,27.86261333,,634.0,South Asia
Afghanistan,1835,27.85236667,,636.0,South Asia
Afghanistan,1836,27.84212,,638.0,South Asia
Afghanistan,1837,27.83187333,,640.0,South Asia
Afghanistan,1838,27.82162667,,643.0,South Asia
Afghanistan,1839,27.81138,,645.0,South Asia
Afghanistan,1840,27.80113333,3625022,647.0,South Asia
Afghanistan,1841,27.79088667,,649.0,South Asia
Afghanistan,1842,27.780640000000002,,651.0,South Asia
Afghanistan,1843,27.77039333,,654.0,South Asia
Afghanistan,1844,27.76014667,,656.0,South Asia
Afghanistan,1845,27.7499,,658.0,South Asia
Afghanistan,1846,27.73965333,,660.0,South Asia
Afghanistan,1847,27.72940667,,663.0,South Asia
Afghanistan,1848,27.71916,,665.0,South Asia
Afghanistan,1849,27.70891333,,667.0,South Asia
Afghanistan,1850,27.69866667,3810047,669.0,South Asia
Afghanistan,1851,27.68842,,672.0,South Asia
Afghanistan,1852,27.67817333,,674.0,South Asia
Afghanistan,1853,27.66792667,,676.0,South Asia
Afghanistan,1854,27.65768,,678.0,South Asia
Afghanistan,1855,27.64743333,,681.0,South Asia
Afghanistan,1856,27.63718667,,683.0,South Asia
Afghanistan,1857,27.62694,,685.0,South Asia
Afghanistan,1858,27.61669333,,688.0,South Asia
Afghanistan,1859,27.60644667,,690.0,South Asia
Afghanistan,1860,27.5962,3973968,692.0,South Asia
Afghanistan,1861,27.58595333,,695.0,South Asia
Afghanistan,1862,27.57570667,,697.0,South Asia
Afghanistan,1863,27.565459999999998,,699.0,South Asia
Afghanistan,1864,27.55521333,,702.0,South Asia
Afghanistan,1865,27.54496667,,704.0,South Asia
Afghanistan,1866,27.53472,,707.0,South Asia
Afghanistan,1867,27.52447333,,709.0,South Asia
Afghanistan,1868,27.51422667,,711.0,South Asia
Afghanistan,1869,27.50398,,714.0,South Asia
Afghanistan,1870,27.49373333,4169690,716.0,South Asia
Afghanistan,1871,27.48348667,,719.0,South Asia
Afghanistan,1872,27.473240000000004,,721.0,South Asia
Afghanistan,1873,27.46299333,,724.0,South Asia
Afghanistan,1874,27.45274667,,726.0,South Asia
Afghanistan,1875,27.4425,,729.0,South Asia
Afghanistan,1876,27.43225333,,731.0,South Asia
Afghanistan,1877,27.42200667,,734.0,South Asia
Afghanistan,1878,27.411759999999997,,736.0,South Asia
Afghanistan,1879,27.40151333,,739.0,South Asia
Afghanistan,1880,27.39126667,4419695,741.0,South Asia
Afghanistan,1881,27.38102,,744.0,South Asia
Afghanistan,1882,27.37077333,,746.0,South Asia
